subject,position,reconstruction,region,dcte
sub-001,none,woBin,WholeVolume,0.9672341589082297
sub-001,up,full,WholeVolume,1.254714473002448
sub-001,up,50p,WholeVolume,1.274570548741092
sub-001,up,75p,WholeVolume,1.0864617703871298
sub-001,up,95p,WholeVolume,0.8615753828614299
sub-001,down,full,WholeVolume,1.2792837149242628
sub-001,down,50p,WholeVolume,1.2335562763176908
sub-001,down,75p,WholeVolume,1.208869792173974
sub-001,down,95p,WholeVolume,0.8289572604380052
sub-001,left,full,WholeVolume,1.271153868176887
sub-001,left,50p,WholeVolume,1.27611146475144
sub-001,left,75p,WholeVolume,1.308570822794199
sub-001,left,95p,WholeVolume,0.9228947072587322
sub-001,right,full,WholeVolume,1.273209066296541
sub-001,right,50p,WholeVolume,1.302124693411624
sub-001,right,75p,WholeVolume,1.114789058420293
sub-001,right,95p,WholeVolume,0.8188661067850485
sub-002,none,woBin,WholeVolume,1.1711427389838867
sub-002,up,full,WholeVolume,1.4485952942269393
sub-002,up,50p,WholeVolume,1.2841127819100313
sub-002,up,75p,WholeVolume,0.9911571497049655
sub-002,up,95p,WholeVolume,0.8303014510992507
sub-002,down,full,WholeVolume,1.5321454969297346
sub-002,down,50p,WholeVolume,1.1256146739630788
sub-002,down,75p,WholeVolume,0.9518944120262474
sub-002,down,95p,WholeVolume,0.7538565744547734
sub-002,left,full,WholeVolume,1.3764715598579036
sub-002,left,50p,WholeVolume,1.2117722975304834
sub-002,left,75p,WholeVolume,0.9828342082394577
sub-002,left,95p,WholeVolume,0.8719287792002659
sub-002,right,full,WholeVolume,1.4085147199449832
sub-002,right,50p,WholeVolume,1.2802492808440686
sub-002,right,75p,WholeVolume,0.9348340268349723
sub-002,right,95p,WholeVolume,0.7420275450080502
sub-003,none,woBin,WholeVolume,1.1483925090705605
sub-003,up,full,WholeVolume,1.4493467261162543
sub-003,up,50p,WholeVolume,1.2974153884091417
sub-003,up,75p,WholeVolume,0.982396161833172
sub-003,up,95p,WholeVolume,0.8017510730097659
sub-003,down,full,WholeVolume,1.3549481703326327
sub-003,down,50p,WholeVolume,1.1709050598570854
sub-003,down,75p,WholeVolume,1.044707928465795
sub-003,down,95p,WholeVolume,0.6557990489412756
sub-003,left,full,WholeVolume,1.3179204763016488
sub-003,left,50p,WholeVolume,1.159902930101991
sub-003,left,75p,WholeVolume,0.9892645419836653
sub-003,left,95p,WholeVolume,0.7021921923567247
sub-003,right,full,WholeVolume,1.4617161178187
sub-003,right,50p,WholeVolume,1.2804789458886185
sub-003,right,75p,WholeVolume,1.0998078538112352
sub-003,right,95p,WholeVolume,0.6720317689552816
