subject,position,reconstruction,region,dcte
sub-001,none,woBin,WholeVolume,5.260360698493957
sub-001,up,full,WholeVolume,3.5859613044469976
sub-001,up,50p,WholeVolume,3.1750417992955082
sub-001,up,75p,WholeVolume,2.6424565130455107
sub-001,up,95p,WholeVolume,1.4372141805269236
sub-001,down,full,WholeVolume,3.9509375379892386
sub-001,down,50p,WholeVolume,3.258072319563754
sub-001,down,75p,WholeVolume,3.161190799381361
sub-001,down,95p,WholeVolume,1.5008926949377994
sub-001,left,full,WholeVolume,3.9508261887374956
sub-001,left,50p,WholeVolume,3.877650074609976
sub-001,left,75p,WholeVolume,2.660686876603548
sub-001,left,95p,WholeVolume,1.4210423985738656
sub-001,right,full,WholeVolume,3.5149308034678843
sub-001,right,50p,WholeVolume,3.4347679230848334
sub-001,right,75p,WholeVolume,2.664459733376148
sub-001,right,95p,WholeVolume,1.2316252182621457
sub-002,none,woBin,WholeVolume,2.9233700759071115
sub-002,up,full,WholeVolume,3.730503329069567
sub-002,up,50p,WholeVolume,3.002662763984396
sub-002,up,75p,WholeVolume,2.4685062812736898
sub-002,up,95p,WholeVolume,1.1335786658730906
sub-002,down,full,WholeVolume,3.561040593801156
sub-002,down,50p,WholeVolume,2.8007385437278
sub-002,down,75p,WholeVolume,2.2348477063676633
sub-002,down,95p,WholeVolume,0.8422850902892197
sub-002,left,full,WholeVolume,3.4014630002501285
sub-002,left,50p,WholeVolume,3.182210838247064
sub-002,left,75p,WholeVolume,2.2886195572279093
sub-002,left,95p,WholeVolume,1.0565234658642302
sub-002,right,full,WholeVolume,3.4287611877578374
sub-002,right,50p,WholeVolume,3.0722169572068116
sub-002,right,75p,WholeVolume,2.307502110901756
sub-002,right,95p,WholeVolume,1.0474951847880334
sub-003,none,woBin,WholeVolume,4.344530469090276
sub-003,up,full,WholeVolume,3.7036110148837653
sub-003,up,50p,WholeVolume,3.6459194932372103
sub-003,up,75p,WholeVolume,2.9803053962916923
sub-003,up,95p,WholeVolume,1.6496479332869445
sub-003,down,full,WholeVolume,4.095400252601584
sub-003,down,50p,WholeVolume,4.236500436732645
sub-003,down,75p,WholeVolume,2.5687307576279954
sub-003,down,95p,WholeVolume,1.3489000728145701
sub-003,left,full,WholeVolume,4.652283272146727
sub-003,left,50p,WholeVolume,3.5346274463119003
sub-003,left,75p,WholeVolume,3.392351817143409
sub-003,left,95p,WholeVolume,1.565111023165451
sub-003,right,full,WholeVolume,3.757557116444054
sub-003,right,50p,WholeVolume,5.441063864898932
sub-003,right,75p,WholeVolume,3.5785687270238133
sub-003,right,95p,WholeVolume,1.3578300810101493
